song_name,artist,album,genre
Quite Miss Home - Steve Void Remix,James Arthur,Quite Miss Home (Steve Void Remix),pop
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,Love Me Less (Remixes),pop
Happier - Matt Medved Remix,Marshmello,Happier (Remixes Pt. 2),pop
Side Effects - Fedde Le Grand Remix,The Chainsmokers,Side Effects - Remixes,pop
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],pop
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,Paradise (Bazzi vs. Black Caviar Remix),pop
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,White Mercedes (EDX's Miami Sunset Remix),pop
Higher Love,Kygo,Higher Love,pop
Unlove You,Armin van Buuren,Unlove You,pop
bad guy (with Justin Bieber),Billie Eilish,bad guy (with Justin Bieber),pop
Freaking Me Out - Keanu Silva Remix,Ava Max,Freaking Me Out (Keanu Silva Remix),pop
Heaven Can Wait - The Aston Shuffle Remix,Sia,Heaven Can Wait (The Aston Shuffle Remix),pop
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,When It Comes To You (Remixes),pop
Gone - The Wild Remix,Charli XCX,Gone (The Wild Remix),pop
American Boy - Brooks Remix,Estelle,American Boy (Brooks Remix),pop
Million Pieces - M-22 Remix,Bastille,Million Pieces (M-22 Remix),pop
joy. (R3HAB Remix),for KING & COUNTRY,joy. (R3HAB Remix),pop
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,Crash Into Me (Settle Down Steavis Aoki Remix),pop
Old Town Road - Diplo Remix,Lil Nas X,Old Town Road (Diplo Remix),pop
Lovers + Strangers - GATTÜSO Remix,Starley,Lovers + Strangers (GATTÜSO Remix),pop
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,Promises (with Sam Smith) [Remixes],pop
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),pop
What Am I - SONDR Remix,Why Don't We,What Am I (SONDR Remix),pop
Cool Kids,Olympis,Cool Kids,pop
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],pop
All Star - Breathe Carolina Remix,Smash Mouth,All Star (Breathe Carolina Remix),pop
Trampoline - Dave Audé Remix,SHAED,Melt (Deluxe),pop
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],pop
With You - Dexter Remix,Kaskade,With You - The Remixes,pop
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,Safety (The Dark Heart Remixes) (feat. DJ Snake),pop
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],pop
Talk - Disclosure VIP,Khalid,Talk (Disclosure VIP),pop
Spicy - Majestic Remix,Herve Pagez,Spicy (with Diplo & Charli XCX) [Remixes],pop
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],pop
Treehouse - R3HAB Remix,James Arthur,Treehouse (R3HAB Remix),pop
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",pop
Call You Mine,The Chainsmokers,World War Joy,pop
Post Malone (feat. RANI),Sam Feldt,Magnets EP,pop
Here With Me,Marshmello,Here With Me,pop
Easier - Seeb Remix,5 Seconds of Summer,Easier (Seeb Remix),pop
Sixteen,Ellie Goulding,Sixteen,pop
Never Really Over,Katy Perry,Never Really Over,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,All You Need To Know (feat. Calle Lehmann),pop
I Miss Myself (with HRVY),NOTD,I Miss Myself (with HRVY),pop
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],pop
Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Takeaway,pop
All the Time,Zara Larsson,All the Time,pop
What I Like About You (feat. Theresa Rex),Jonas Blue,What I Like About You (feat. Theresa Rex),pop
With You,Kaskade,With You,pop
Body Back (feat. Maia Wright),Gryffin,Body Back (feat. Maia Wright),pop
Not Ok,Kygo,Not Ok,pop
Ruin My Life,Zara Larsson,Ruin My Life,pop
I Wanna Know (feat. Bea Miller),NOTD,I Wanna Know (feat. Bea Miller),pop
Better With You,3LAU,Better With You,pop
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",pop
Polaroid,Jonas Blue,Blue,pop
Lost In Japan - Remix,Shawn Mendes,Lost In Japan (Remix),pop
In Your Arms (with X Ambassadors),ILLENIUM,ASCEND,pop
I'm Not Alright,Loud Luxury,I'm Not Alright,pop
SOS,Avicii,SOS,pop
Harder,Jax Jones,Snacks,pop
The Middle,Zedd,The Middle,pop
Wanted,NOTD,Wanted,pop
Crash Into Me,Steve Aoki,Crash Into Me,pop
Need Your Love (with Noah Kahan),Gryffin,Gravity,pop
Good Things Fall Apart (with Jon Bellion),ILLENIUM,Good Things Fall Apart (with Jon Bellion),pop
Don't Call Me Up,Mabel,Ivy To Roses (Mixtape),pop
Nostalgic,A R I Z O N A,Nostalgic,pop
Let It Be Me,Steve Aoki,Let It Be Me,pop
Lovers + Strangers,Starley,Lovers + Strangers,pop
Sad Song (feat. TINI),Alesso,Sad Song (feat. TINI),pop
Sleepless Nights,ayokay,In the Shape of a Dream,pop
Save Me Tonight,ARTY,Save Me Tonight,pop
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),pop
No Sleep (feat. Bonn),Martin Garrix,No Sleep (feat. Bonn),pop
Feel Good (feat. Daya),Gryffin,Feel Good (feat. Daya),pop
Endless Summer,Cashae,Endless Summer,pop
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],pop
Think About You,Kygo,Think About You,pop
Party For One,Carly Rae Jepsen,Dedicated,pop
Ritual,Tiësto,Ritual,pop
Electricity (with Dua Lipa),Silk City,Electricity (with Dua Lipa),pop
Lie,Shallou,Lie,pop
I Found You (with Calvin Harris),benny blanco,FRIENDS KEEP SECRETS,pop
Now That I Found You,Carly Rae Jepsen,Now That I Found You / No Drug Like Me,pop
All Comes Back To You,R3HAB,All Comes Back To You,pop
Need U,DVBBS,Need U,pop
First Love,Lost Kings,First Love,pop
Something Real,Armin van Buuren,Something Real,pop
TIME,Alesso,ALESSO MIXTAPE - PROGRESSO VOLUME 1,pop
Something About You (with Rudimental),Elderbrook,Distinction EP,pop
Home (feat. Bonn),Martin Garrix,Home (feat. Bonn),pop
Simple (STVW Remix),FANNYPACK,Simple (STVW Remix),pop
Sorry,Joel Corry,Sorry,pop
Spicy (with Diplo & Charli XCX),Herve Pagez,Spicy (with Diplo & Charli XCX),pop
The Upside (feat. Elle King),Lindsey Stirling,The Upside (feat. Elle King) / The Upside / Underground,pop
Stay,Zedd,Stay,pop
Million Voices,Armin van Buuren,Balance,pop
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",pop
Closer (feat. Halsey),The Chainsmokers,Closer (feat. Halsey),pop
Say My Name (feat. Zyra) - RAC Mix,ODESZA,Say My Name Remixes,pop
Clarity,Zedd,Clarity,pop
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),pop
Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,pop
Friends (with BloodPop®),Justin Bieber,Friends (with BloodPop®),pop
RITMO (Bad Boys For Life),The Black Eyed Peas,RITMO (Bad Boys For Life),pop
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),pop
Turn Me On (feat. Vula),Riton,Turn Me On (feat. Vula),pop
Light,San Holo,Light,pop
2U,David Guetta,2U,pop
Something Just Like This,The Chainsmokers,Memories...Do Not Open,pop
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),pop
Heroes (we could be),Alesso,Forever,pop
It Ain’t Me (with Selena Gomez),Kygo,It Ain't Me,pop
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,R.E.D. (Deluxe Edition),pop
Let Me Love You,DJ Snake,Encore,pop
Roses,The Chainsmokers,Roses,pop
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,Clarity (Deluxe),pop
Latch,Disclosure,Settle,pop
Flames,David Guetta,7,pop
Sorry,Justin Bieber,Purpose (Deluxe),pop
This Is What You Came For,Calvin Harris,This Is What You Came For,pop
Wake Me Up,Avicii,True,pop
In My Mind,Dynoro,In My Mind,pop
Titanium (feat. Sia),David Guetta,Nothing but the Beat 2.0,pop
Where Are Ü Now,Skrillex,Purpose (Deluxe),pop
Firework,Katy Perry,Teenage Dream,pop
Mi Gente (feat. Beyoncé),J Balvin,Mi Gente (feat. Beyoncé),pop
Don't You Worry Child - Radio Edit,Swedish House Mafia,Until Now,pop
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,TROLLS (Original Motion Picture Soundtrack),pop
Anything Could Happen,Ellie Goulding,Halcyon,pop
Poker Face,Lady Gaga,The Fame,pop
How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,pop
In Your Eyes (feat. Alida),Robin Schulz,In Your Eyes (feat. Alida),pop
Wish You Well (with Sigala),Sigala,Get To Know,pop
With You - LöKii Remix,Kaskade,With You - The Remixes,pop
Dive,Hot Shade,Dive,pop
No Goodbye,Paul Kalkbrenner,No Goodbye,pop
Work,MOTi,Work,pop
Instagram,Dimitri Vegas & Like Mike,Instagram,pop
Better Off Without You (feat. Shift K3Y),Becky Hill,Better Off Without You (feat. Shift K3Y),pop
Butterfly,Molella,Butterfly,pop
All The Love You Got,MOTi,All The Love You Got,pop
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,Call You Mine - The Remixes,pop
Love Is Not Enough,GATTÜSO,Love Is Not Enough,pop
Lose Control,MEDUZA,Lose Control,pop
I Wanna Dance,Jonas Blue,I Wanna Dance,pop
After The Landslide - Club Remix,Matt Simons,After The Landslide (Remix),pop
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,Midnight Hour with Boys Noize & Ty Dolla $ign,pop
Pon de Replay,Ed Marquis,Pon de Replay,pop
So Close,NOTD,So Close (feat. Georgia Ku),pop
Look Into My Eyes,Brando,Look Into My Eyes,pop
Not in Control,Glaceo,Not in Control,pop
BLUE,Tiësto,BLUE,pop
Don't Waste My Time,Kharfi,Don't Waste My Time,pop
Beat Of My Heart,Lost Frequencies,Alive And Feeling Fine,pop
Don't Start Now - Kungs Remix,Dua Lipa,Don't Start Now (Kungs Remix),pop
Drunken Truth,Steve Void,The Seed EP,pop
Jacques,Jax Jones,Jacques,pop
Something Real,Armin van Buuren,Balance,pop
Stay (Don't Go Away) [feat. Raye],David Guetta,Stay (Don't Go Away) [feat. Raye],pop
Solid Gold,PNAU,Solid Gold,pop
One Life,Mike Perry,One Life,pop
All ‘Bout The Money,FAULHABER,All ‘Bout The Money,pop
Never Letting Go,Audien,Never Letting Go,pop
Used To Love (with Dean Lewis),Martin Garrix,Used To Love (with Dean Lewis),pop
Giulia,Prince Paris,Giulia,pop
What Do I Do? - Benny Benassi Remix,Georgia Ku,What Do I Do? (Benny Benassi Remix),pop
Dreams Of You (feat. Rae Morris),Icarus,Dreams Of You (feat. Rae Morris),pop
I Will Let You Down (feat. KLARA),Madison Mars,I Will Let You Down (feat. KLARA),pop
Carillon (with Achille Lauro),Nahaze,Carillon (with Achille Lauro),pop
La Vie - Gabry Ponte Mix,DJ Ross,La Vie (Gabry Ponte Mix),pop
Lullaby,R3HAB,Lullaby,pop
Say It,Phantoms,Disconnect,pop
All This Time,Deorro,All This Time,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,Gravity,pop
Acordeão,Tiësto,Acordeão,pop
My Friend,Yves V,My Friend,pop
On & On,Alok,On & On,pop
Juliet & Romeo,Martin Solveig,Juliet & Romeo,pop
All Around The World (La La La),R3HAB,All Around The World (La La La),pop
Are You Lonely (feat. ISÁK),Steve Aoki,Are You Lonely (feat. ISÁK),pop
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,No More (feat. Brenda Mullen) [Bottai Edit],pop
Close Your Eyes,Felix Jaehn,Close Your Eyes,pop
Buzzing (with Nevve),Audien,Escapism,pop
Never Be Alone (feat. Aloe Blacc),David Guetta,Never Be Alone (feat. Aloe Blacc),pop
Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),pop
Insane,Ofenbach,Insane,pop
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,Daydreams (Sultan + Shepard Echoes Of Life Remix),pop
Only Want You - Sam Feldt Remix,Rita Ora,Only Want You (Sam Feldt Remix),pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,Close To Me (Remixes),pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,Woke Up Late (Sam Feldt Remix),pop
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],pop
Not Ok - Frank Walker Remix,Kygo,Not Ok (Frank Walker Remix),pop
Heaven (feat. Veronica),Dzeko,Heaven (feat. Veronica),pop
Sixteen - Don Diablo Remix,Ellie Goulding,Sixteen (Don Diablo Remix),pop
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,Don’t Give Up On Me Now (with Julie Bergan),pop
Brave,Don Diablo,Brave,pop
Let It Be Me,Steve Aoki,Let It Be Me,pop
Carry On - Nicky Romero Remix,Kygo,Carry On (Nicky Romero Remix),pop
Magnets (feat. Sophie Simmons),Sam Feldt,Magnets (feat. Sophie Simmons),pop
Don't Give Up On Me,Andy Grammer,Don't Give Up On Me (with R3HAB),pop
Found Love (feat. Lovespeake),MOTi,Found Love (feat. Lovespeake),pop
These Are The Times (feat. JRM),Martin Garrix,These Are The Times (feat. JRM),pop
Wherever You Go,Jonas Blue,Blue,pop
Happy Now,Kygo,Happy Now,pop
Roots,Valerie Broussard,Roots,pop
Talk - Alle Farben Remix,Khalid,Talk (Alle Farben Remix),pop
All The Lies - Toby Romeo Remix / Radio Edit,Alok,All The Lies (Remixes),pop
High Hopes - Don Diablo Remix,Panic! At The Disco,High Hopes (Don Diablo Remix),pop
Summer Air (feat. Trevor Guthrie),Hardwell,Summer Air (feat. Trevor Guthrie),pop
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,Can We Pretend (feat. Cash Cash) [Sigala Remix],pop
Bruises - Steve Void Remix,Lewis Capaldi,Bruises EP,pop
Insomnia - King Arthur Remix,Daya,Insomnia (King Arthur Remix),pop
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,Don't Worry Bout Me (Rudimental Remix),pop
I Miss Myself - R3HAB Remix,NOTD,I Miss Myself (R3HAB Remix),pop
8 Letters - R3HAB Remix,Why Don't We,8 Letters (R3HAB Remix),pop
You Deserve Better - Andrelli Remix,James Arthur,You Deserve Better (Andrelli Remix),pop
Remember (with ZOHARA),Gryffin,Remember (with ZOHARA),pop
REMEDY,Alesso,REMEDY,pop
Leave,Borgeous,Leave,pop
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],pop
I'm Not Sorry,Hardwell,I'm Not Sorry,pop
Tequila - Robin Schulz Remix,Dan + Shay,Tequila (Robin Schulz Remix),pop
Happier - Frank Walker Remix,Marshmello,Happier (Remixes),pop
Sing It With Me - Embody Remix,JP Cooper,Sing It With Me (Embody Remix),pop
Thursday - Nicky Romero Remix,Jess Glynne,Thursday (Nicky Romero Remix),pop
Better When You're Gone,David Guetta,Better When You're Gone,pop
Wish You Well,Sigala,Wish You Well,pop
Only When It Rains,Frank Walker,Only When It Rains,pop
Mad Love - Blinkie Remix,Mabel,Mad Love (Remixes),pop
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,Sweet but Psycho (Remixes),pop
Better Day (feat. Aloe Blacc),Young Bombs,Better Day (feat. Aloe Blacc),pop
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,Rescue Me (with BUNT.) [BUNT. Remix],pop
Discovery,Syn Cole,Discovery,pop
With You - Frank Walker Remix,Tyler Shaw,With You (Frank Walker Remix),pop
2 Hearts (feat. Gia Koka),Sam Feldt,2 Hearts (feat. Gia Koka),pop
Love You Forever,Nicky Romero,Love You Forever,pop
Post Malone (feat. RANI),Sam Feldt,Post Malone (feat. RANI) [Joe Stone Remix],pop
Thorns,Faustix,Thorns,pop
Shotgun (The Wild Remix),George Ezra,Shotgun (The Wild Remix),pop
True Colors (feat. Maya Avedis),XO Cupid,True Colors (feat. Maya Avedis),pop
Crying In The Sun,Faustix,Crying In The Sun (Remixes),pop
Need You,Faustix,Need You,pop
Sweet Dreams (Are Made of This),Winati,Sweet Dreams (are Made of This),pop
Million Lights,Tungevaag & Raaban,Million Lights,pop
Dancing in the Moonlight,Jubël,Dancing in the Moonlight,pop
Heaven,Avicii,TIM,pop
Forever Young,John De Sohn,Forever Young,pop
eoh,Olympis,eoh,pop
Nobody,Martin Jensen,Nobody,pop
All Day And Night,Jax Jones,Snacks,pop
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,There's No Way (remixes),pop
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,Whenever (feat. Conor Maynard),pop
All For Love,Tungevaag & Raaban,All For Love,pop
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,Bittersweet Symphony (feat. Emily Roberts),pop
One Touch,Jess Glynne,Always in Between (Deluxe),pop
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",pop
Be Your Friend‬‬,Vigiland,Be Your Friend,pop
Happier - Breathe Carolina Remix,Marshmello,Happier (Remixes),pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,Woke Up Late (feat. Hailee Steinfeld) [Sam Feldt Remix],pop
Just Got Paid,Sigala,Brighter Days,pop
No One - Jonas Blue Remix,Jess Glynne,No One (Jonas Blue Remix),pop
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,Speechless (feat. Erika Sirola) [MOTi Remix],pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,Close To Me (Remixes),pop
Darkside,Alan Walker,Different World,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),pop
Body (feat. brando),Loud Luxury,Body (feat. brando),pop
Who's Got Your Love,Cheat Codes,Who's Got Your Love,pop
Never Go Back - Robin Schulz Remix,Dennis Lloyd,Never Go Back (Remixes),pop
Pumped Up,Klingande,Pumped Up,pop
California,Hot Shade,California,pop
Solo Dance,Martin Jensen,Solo Dance,pop
Replay,Davai,Replay,pop
Think About You - Galantis Remix,Kygo,Think About You (Galantis Remix),pop
Love No More,Loud Luxury,Love No More,pop
All Falls Down (feat. Juliander),Alan Walker,Different World,pop
Lonely Together (feat. Rita Ora),Avicii,Phoenix (Deluxe Edition),pop
Remind Me to Forget,Kygo,Kids in Love,pop
Next To Me,Axel Johansson,Next To Me,pop
Giant (with Rag'n'Bone Man),Calvin Harris,Giant (with Rag'n'Bone Man),pop
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,Happier (Tiësto’s AFTR:HRS Remix),pop
Hum With Me,John De Sohn,Hum With Me,pop
Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),pop
Call On Me - Ryan Riback Remix,Starley,Call On Me,pop
Sad (feat. Afrojack),Chico Rose,Sad (feat. Afrojack),pop
Stargazing,Kygo,Stargazing - EP,pop
Symphony (feat. Zara Larsson),Clean Bandit,What Is Love? (Deluxe Edition),pop
Stay Young,Mike Perry,Stay Young,pop
More Than You Know,Axwell /\ Ingrosso,More Than You Know,pop
Why Boy,Steff da Campo,Why Boy,pop
The Nights,Avicii,The Days / Nights,pop
Rich Love (with Seeb),OneRepublic,Rich Love,pop
Mama,Jonas Blue,Blue,pop
Feel Good,Felix Jaehn,I,pop
IDGAF - Hazers Remix,Dua Lipa,IDGAF (Remixes),pop
Breathe (feat. Ina Wroldsen),Jax Jones,Snacks,pop
Rockstar,Ilkay Sencan,Rockstar,pop
Jackie Chan,Tiësto,Jackie Chan,pop
Moonlight,Gaullin,Moonlight,pop
All I Wanna Do,Martin Jensen,All I Wanna Do,pop
Sweet but Psycho,Ava Max,Sweet but Psycho,pop
Melody - ANGEMI Remix,Lost Frequencies,"Melody (Remixes, Pt. 1)",pop
High On Life (feat. Bonn),Martin Garrix,High On Life (feat. Bonn),pop
So Am I,Ava Max,So Am I,pop
I Know You - Vigiland Remix,Craig David,I Know You (Remixes),pop
Through To You,Lyente,Through To You,pop
Burn Out (feat. Dewain Whitmore),Martin Garrix,Burn Out (feat. Dewain Whitmore),pop
Penny,Dimitri Vangelis & Wyman,Penny,pop
Wait For Me,Steve Brian,Wait For Me,pop
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",pop
Daylight (Airbeat One Anthem 2018),Fluex,Daylight (Airbeat One Anthem 2018),pop
Imagine,Rob Tirea,Imagine,pop
Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,Apple Juice (feat. Carla Monroe) [MOTi Remix],pop
Glitch,Martin Garrix,Glitch,pop
Brand New (Helium),Lvly,Brand New (Helium),pop
Shades Of Voices (Original Mix),PULLER,Shades Of Voices (Original Mix),pop
In Time,CAZZETTE,Stereo Mono,pop
Halfway There (feat. Lena Leon),Tiësto,Halfway There (feat. Lena Leon),pop
Spirit Of Freedom,Dropgun,Spirit Of Freedom,pop
Mama Look at Me Now,Galantis,Satisfied (feat. MAX) / Mama Look at Me Now,pop
Toxic Rain - No Class Remix,Alicia Madison,Toxic Rain (No Class Remix),pop
The Beat,Mike Williams,The Beat,pop
Wild Wild Son,Armin van Buuren,Wild Wild Son,pop
Waiting For Love,Avicii,Stories,pop
Shelter (Mix Cut) - Yoel Lewis Remix,Dash Berlin,Trance Top 1000 (Mini Mix 006) - Armada Music,pop
Like I Do,David Guetta,Like I Do,pop
Skyline,Catiso,Mercury,pop
Callin' - Extended Mix,Lush & Simon,Callin',pop
Roads,Vargas & Lagola,Roads,pop
Jackie Chan,Tiësto,Jackie Chan,pop
Came Here for Love,Sigala,Came Here for Love,pop
Kids in Love - Don Diablo Remix,Kygo,Kids in Love (Don Diablo Remix),pop
Let You Down - Chris Royal Remix,Bombs Away,Let You Down (Remixes),pop
Mercury,Catiso,Mercury,pop
Different Place,STVCKS,Different Place,pop
One Last Time,Ariana Grande,My Everything (Deluxe),pop
I Feel The Love,Tritonal,Painting With Dreams,pop
No Brainer,DJ Khaled,No Brainer,pop
Sun Is Shining,Axwell /\ Ingrosso,More Than You Know,pop
Breathe,Jax Jones,Breathe,pop
In the Name of Love,Martin Garrix,In the Name of Love,pop
Pure Gold,oomiee,KEEN: Workout Vol. 1,pop
Turning Up,ARASHI,Turning Up,pop
Winter Hitori feat. ASOBOiSM,Shinn Yamada,Winter Hitori feat. ASOBOiSM,pop
9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,TOMORROW X TOGETHER,MAGIC HOUR,pop
Nobody Knows,Hiroomi Tosaka,Who Are You?,pop
One in a Million -奇跡の夜に-,GENERATIONS from EXILE TRIBE,SHONEN CHRONICLE,pop
別世界,E-girls,別世界,pop
Gimme GImme,iamSHUM,Gimme GImme,pop
御伽の街,DAOKO,御伽の街,pop
ボイスメモ No. 5,CHANMINA,ボイスメモ No. 5,pop
